time,obs_0,x_0,x_1,regime
0.0,0.3342949989790187,0.37162708560172114,0.2715771341525975,0
0.01,0.3977434648739353,0.3743428569432471,0.26731770902827506,0
0.02,0.39670066459984843,0.37701603403352985,0.26303964504078603,0
0.03,0.4840669683817934,0.3796464304839377,0.25874340541036916,0
0.04,0.4324381848115113,0.38223386453804137,0.25442945429470903,0
0.05,0.4738629111847724,0.38477815908098845,0.2500982567407392,0
0.06,0.25929684630679406,0.38727914164839583,0.24575027863644786,0
0.07,0.2994033527080245,0.3897366444347603,0.241385986662691,0
0.08,0.46077131310390607,0.3921505043013872,0.23700584824501802,0
0.09,0.5289337241329073,0.3945205627838374,0.2326103315055141,3
0.1,0.34363184291161386,0.3968466660988925,0.2281999052146647,3
0.11,0.3885034313333142,0.3991286651510392,0.22377503874324645,2
0.12,0.4174401164162521,0.40136641553847163,0.21933620201424955,2
0.13,0.4182628923082502,0.4035597775586141,0.21488386545483634,2
0.14,0.4044027375575094,0.40570861621316245,0.21041849994834053,2
0.15,0.35654300786812715,0.40781280121264585,0.20594057678631222,2
0.16,0.26794202229328434,0.40987220698050897,0.20145056762061314,2
0.17,0.5156397848077939,0.4118867126567151,0.19694894441556682,2
0.18,0.40622145253808184,0.41385620210087076,0.19243617940016852,0
0.19,0.5477934134113089,0.41578056389487245,0.18791274502035948,0
0.2,0.2750927001722704,0.417659691345076,0.18337911389137004,0
0.21,0.5782731412294501,0.4194934824839897,0.17883575875013655,0
0.22,0.6073167131301779,0.42128184007149105,0.17478315240779638,1
0.23,0.43719525131269027,0.42302967159556903,0.17072076770226588,1
0.24,0.2833459486865434,0.4247368792725917,0.16614902945090565,0
0.25,0.34908322269413733,0.42639836956710075,0.16156936259927793,0
0.26,0.5392085559494644,0.42801406319309354,0.15698224017840837,0
0.27,0.45074411235985173,0.42958388559487765,0.15238813506612062,0
0.28,0.39114829850799915,0.4311077669455389,0.1482875199400396,1
0.29,0.3449504751518426,0.43259064214493925,0.14417986723070414,1
0.3,0.2185199649212115,0.4340324408172463,0.14006560107479335,1
0.31,0.6395754682731594,0.43543309682799425,0.1359451454644713,1
0.32,0.4047304500779999,0.43679254828263897,0.13181892420526242,1
0.33,0.3590089055423409,0.4381107375246916,0.12768736087402552,1
0.34,0.22909873633576489,0.43938761113343183,0.12355087877703055,1
0.35000000000000003,0.6059694389898049,0.4406231199212021,0.11940990090814217,1
0.36,0.42430046743601363,0.44181721893028353,0.11526484990711386,1
0.37,0.5484826615789834,0.4429698674293547,0.1111161480179968,1
0.38,0.45303854580461406,0.44408102890953466,0.10696421704766726,1
0.39,0.3369938724265345,0.44515067108001133,0.10280947832447658,1
0.4,0.42176161951628344,0.4461787658632561,0.09865235265702751,1
0.41000000000000003,0.3286061321112962,0.44716528938982636,0.0944932602930809,1
0.42,0.3354348830873082,0.4481102219927572,0.09033262087859648,1
0.43,0.5316576818530808,0.44901354820154316,0.0861708534169117,1
0.44,0.5813043504407177,0.44987525673571227,0.08200837622806245,1
0.45,0.6554679558130841,0.45069534049799287,0.07734560690824921,3
0.46,0.4206532776420274,0.45146879656707534,0.07268396228945279,3
0.47000000000000003,0.4028973381226491,0.4521956361899699,0.06802390639920312,3
0.48,0.6550820711030872,0.4528758752539619,0.06336590222450501,3
0.49,0.6194978107392719,0.45350953427620694,0.058710411667516386,3
0.5,0.40794074926232166,0.4540966383928821,0.05405789550141928,3
0.51,0.3342171135041698,0.4546372173478963,0.049408813326487624,2
0.52,0.3629567092332152,0.4551313054811612,0.044763623526355684,2
0.53,0.47901500590181,0.45557894171642477,0.04012278322449136,2
0.54,0.46101493274970573,0.45598016954866966,0.03548674824087813,2
0.55,0.5122565931138897,0.4563350370310784,0.030855973048909677,2
0.56,0.7714322474780502,0.4566435967615675,0.026230910732501073,2
0.5700000000000001,0.40183969691913224,0.4569059058688925,0.021612012943420397,2
0.58,0.38780023176826983,0.45712202599832674,0.017499729858844633,1
0.59,0.551948012089576,0.4572970232969152,0.013393510139143677,1
0.6,0.5030192491695491,0.4574309583983066,0.009293752885896237,1
0.61,0.6079969431546922,0.4575238959271656,0.005200855796141378,1
0.62,0.4474769672493978,0.45757590448512697,0.0011152151252774396,1
0.63,0.49943863201542343,0.4575870566363797,-0.0029627743498243852,1
0.64,0.5784403712221375,0.4575574288928815,-0.007032719367488533,1
0.65,0.4943731025842138,0.4574871016992066,-0.011094228217682372,1
0.66,0.4606771196576106,0.45737615941702975,-0.015146910778239073,1
0.67,0.4575212777884678,0.45722469030924734,-0.019190378550852892,1
0.68,0.399502717743371,0.4570327865237388,-0.02322424469684366,1
0.6900000000000001,0.4530262192766442,0.45680054407677034,-0.02724812407268736,1
0.7000000000000001,nan,0.45652806283604347,-0.03126163326530969,1
